CVE_ID,agent_id
CVE-2007-4559,007
CVE-2022-0815,007
CVE-2023-24329,007
CVE-2023-27043,007
CVE-2023-36632,007
CVE-2023-38831,007
CVE-2023-40217,007
CVE-2023-40477,007
CVE-2024-21303,007
CVE-2024-21308,007
CVE-2024-21317,007
CVE-2024-21331,007
CVE-2024-21332,007
CVE-2024-21333,007
CVE-2024-21335,007
CVE-2024-21373,007
CVE-2024-21398,007
CVE-2024-21414,007
CVE-2024-21415,007
CVE-2024-21425,007
CVE-2024-21428,007
CVE-2024-21449,007
CVE-2024-26186,007
CVE-2024-26191,007
CVE-2024-28906,007
CVE-2024-28908,007
CVE-2024-28909,007
CVE-2024-28910,007
CVE-2024-28911,007
CVE-2024-28912,007
CVE-2024-28913,007
CVE-2024-28914,007
CVE-2024-28915,007
CVE-2024-28926,007
CVE-2024-28927,007
CVE-2024-28928,007
CVE-2024-28929,007
CVE-2024-28930,007
CVE-2024-28931,007
CVE-2024-28932,007
CVE-2024-28933,007
CVE-2024-28934,007
CVE-2024-28935,007
CVE-2024-28936,007
CVE-2024-28937,007
CVE-2024-28938,007
CVE-2024-28939,007
CVE-2024-28940,007
CVE-2024-28941,007
CVE-2024-28942,007
CVE-2024-28943,007
CVE-2024-28944,007
CVE-2024-28945,007
CVE-2024-29043,007
CVE-2024-29044,007
CVE-2024-29045,007
CVE-2024-29046,007
CVE-2024-29048,007
CVE-2024-29982,007
CVE-2024-29983,007
CVE-2024-29984,007
CVE-2024-29985,007
CVE-2024-30105,007
CVE-2024-30376,007
CVE-2024-35256,007
CVE-2024-35264,007
CVE-2024-35271,007
CVE-2024-35272,007
CVE-2024-36052,007
CVE-2024-37318,007
CVE-2024-37319,007
CVE-2024-37320,007
CVE-2024-37321,007
CVE-2024-37322,007
CVE-2024-37323,007
CVE-2024-37324,007
CVE-2024-37326,007
CVE-2024-37327,007
CVE-2024-37328,007
CVE-2024-37329,007
CVE-2024-37330,007
CVE-2024-37331,007
CVE-2024-37332,007
CVE-2024-37333,007
CVE-2024-37334,007
CVE-2024-37335,007
CVE-2024-37336,007
CVE-2024-37337,007
CVE-2024-37338,007
CVE-2024-37339,007
CVE-2024-37340,007
CVE-2024-37341,007
CVE-2024-37342,007
CVE-2024-37965,007
CVE-2024-37966,007
CVE-2024-37980,007
CVE-2024-38087,007
CVE-2024-38088,007
CVE-2024-38095,007
CVE-2024-38167,007
CVE-2024-38168,007
CVE-2024-38229,007
CVE-2024-43483,007
CVE-2024-43484,007
CVE-2024-43485,007
CVE-2024-43498,007
CVE-2024-43499,007
CVE-2024-43603,007
CVE-2024-49021,007
CVE-2024-49043,007
CVE-2024-49044,007
CVE-2024-6232,007
CVE-2024-7592,007
CVE-2024-9287,007
CVE-2025-12084,007
CVE-2025-12781,007
CVE-2025-13462,007
CVE-2025-13836,007
CVE-2025-13837,007
CVE-2025-21171,007
CVE-2025-21172,007
CVE-2025-21173,007
CVE-2025-21178,007
CVE-2025-21206,007
CVE-2025-24070,007
CVE-2025-24998,007
CVE-2025-24999,007
CVE-2025-25003,007
CVE-2025-26646,007
CVE-2025-26682,007
CVE-2025-29802,007
CVE-2025-29803,007
CVE-2025-29804,007
CVE-2025-30399,007
CVE-2025-31334,007
CVE-2025-32702,007
CVE-2025-32703,007
CVE-2025-3730,007
CVE-2025-46148,007
CVE-2025-46149,007
CVE-2025-46150,007
CVE-2025-46152,007
CVE-2025-46153,007
CVE-2025-47954,007
CVE-2025-47959,007
CVE-2025-47997,007
CVE-2025-48379,007
CVE-2025-49717,007
CVE-2025-49718,007
CVE-2025-49719,007
CVE-2025-49739,007
CVE-2025-49758,007
CVE-2025-49759,007
CVE-2025-53727,007
CVE-2025-55227,007
CVE-2025-55240,007
CVE-2025-55315,007
CVE-2025-55551,007
CVE-2025-55552,007
CVE-2025-55553,007
CVE-2025-55554,007
CVE-2025-55557,007
CVE-2025-55558,007
CVE-2025-55560,007
CVE-2025-59499,007
CVE-2025-6075,007
CVE-2025-6218,007
CVE-2025-66034,007
CVE-2025-68146,007
CVE-2025-8088,007
CVE-2025-8869,007
CVE-2026-11933,007
CVE-2026-15308,007
CVE-2026-1703,007
CVE-2026-20803,007
CVE-2026-21262,007
CVE-2026-21518,007
CVE-2026-21523,007
CVE-2026-22007,007
CVE-2026-22013,007
CVE-2026-22016,007
CVE-2026-22018,007
CVE-2026-22021,007
CVE-2026-22701,007
CVE-2026-24747,007
CVE-2026-25990,007
CVE-2026-26115,007
CVE-2026-26116,007
CVE-2026-26130,007
CVE-2026-3087,007
CVE-2026-32167,007
CVE-2026-32176,007
CVE-2026-3219,007
CVE-2026-33120,007
CVE-2026-34268,007
CVE-2026-34282,007
CVE-2026-3644,007
CVE-2026-40192,007
CVE-2026-40370,007
CVE-2026-40376,007
CVE-2026-41109,007
CVE-2026-41610,007
CVE-2026-41611,007
CVE-2026-41613,007
CVE-2026-4224,007
CVE-2026-42308,007
CVE-2026-42309,007
CVE-2026-42310,007
CVE-2026-42311,007
CVE-2026-4519,007
CVE-2026-4538,007
CVE-2026-45482,007
CVE-2026-45496,007
CVE-2026-45591,007
CVE-2026-47281,007
CVE-2026-47282,007
CVE-2026-47284,007
CVE-2026-47287,007
CVE-2026-47292,007
CVE-2026-47296,007
CVE-2026-48569,007
CVE-2026-50520,007
CVE-2026-54058,007
CVE-2026-54059,007
CVE-2026-54060,007
CVE-2026-55379,007
CVE-2026-55380,007
CVE-2026-55798,007
CVE-2026-57101,007
CVE-2026-57102,007
CVE-2026-59197,007
CVE-2026-59198,007
CVE-2026-59199,007
CVE-2026-59200,007
CVE-2026-59204,007
CVE-2026-59205,007
CVE-2026-59890,007
CVE-2026-6019,007
CVE-2026-6357,007
CVE-2026-7210,007
CVE-2026-8643,007
CVE-2026-9735,007
CVE-2026-9740,007
CVE-2026-9741,007
CVE-2026-9742,007
CVE-2026-9746,007
CVE-2026-9747,007
CVE-2026-9748,007
CVE-2026-9749,007
CVE-2026-9750,007
CVE-2026-9751,007
CVE-2026-9752,007
CVE-2026-9753,007
CVE-2026-9754,007
