cve_id,agent_id,status,last_processed_at
CVE-2024-37338,007,ACTIVE,2026-07-28 11:55:50.934+00
CVE-2024-37339,007,ACTIVE,2026-07-28 11:55:50.965+00
CVE-2024-37340,007,ACTIVE,2026-07-28 11:55:50.988+00
CVE-2024-37341,007,ACTIVE,2026-07-28 11:55:51.021+00
CVE-2024-37342,007,ACTIVE,2026-07-28 11:55:51.057+00
CVE-2024-37965,007,ACTIVE,2026-07-28 11:55:51.094+00
CVE-2024-37966,007,ACTIVE,2026-07-28 11:55:51.122+00
CVE-2024-37980,007,ACTIVE,2026-07-28 11:55:51.151+00
CVE-2024-38087,007,ACTIVE,2026-07-28 11:55:51.178+00
CVE-2024-38088,007,ACTIVE,2026-07-28 11:55:51.205+00
CVE-2024-38095,007,ACTIVE,2026-07-28 11:55:51.233+00
CVE-2024-38167,007,ACTIVE,2026-07-28 11:55:51.258+00
CVE-2024-38168,007,ACTIVE,2026-07-28 11:55:51.281+00
CVE-2024-38229,007,ACTIVE,2026-07-28 11:55:51.307+00
CVE-2024-43483,007,ACTIVE,2026-07-28 11:55:51.335+00
CVE-2024-43484,007,ACTIVE,2026-07-28 11:55:51.364+00
CVE-2024-43485,007,ACTIVE,2026-07-28 11:55:51.386+00
CVE-2024-43498,007,ACTIVE,2026-07-28 11:55:51.416+00
CVE-2024-43499,007,ACTIVE,2026-07-28 11:55:51.442+00
CVE-2024-43603,007,ACTIVE,2026-07-28 11:55:51.475+00
CVE-2024-49021,007,ACTIVE,2026-07-28 11:55:51.499+00
CVE-2024-49043,007,ACTIVE,2026-07-28 11:55:51.531+00
CVE-2024-49044,007,ACTIVE,2026-07-28 11:55:51.563+00
CVE-2024-6232,007,ACTIVE,2026-07-28 11:55:51.595+00
CVE-2024-7592,007,ACTIVE,2026-07-28 11:55:51.648+00
CVE-2024-9287,007,ACTIVE,2026-07-28 11:55:51.751+00
CVE-2025-12084,007,ACTIVE,2026-07-28 11:55:51.776+00
CVE-2025-12084,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2025-12781,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2025-12781,007,ACTIVE,2026-07-28 11:55:51.799+00
CVE-2025-13462,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2025-13462,007,ACTIVE,2026-07-28 11:55:51.867+00
CVE-2025-13836,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2025-13836,007,ACTIVE,2026-07-28 11:55:51.896+00
CVE-2025-13837,007,ACTIVE,2026-07-27 17:54:49.749+00
CVE-2025-13837,007,ACTIVE,2026-07-28 11:55:51.919+00
CVE-2025-21171,007,ACTIVE,2026-07-28 11:55:51.942+00
CVE-2025-21172,007,ACTIVE,2026-07-28 11:55:51.966+00
CVE-2025-21173,007,ACTIVE,2026-07-28 11:55:51.994+00
CVE-2025-21178,007,ACTIVE,2026-07-28 11:55:52.028+00
CVE-2025-21206,007,ACTIVE,2026-07-28 11:55:52.059+00
CVE-2025-24070,007,ACTIVE,2026-07-27 17:54:49.749+00
CVE-2025-24070,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2025-24070,007,ACTIVE,2026-07-28 11:55:52.088+00
CVE-2025-24998,007,ACTIVE,2026-07-28 11:55:52.116+00
CVE-2025-24999,007,ACTIVE,2026-07-28 11:55:52.144+00
CVE-2025-25003,007,ACTIVE,2026-07-28 11:55:52.176+00
CVE-2025-26646,007,ACTIVE,2026-07-28 11:55:52.21+00
CVE-2025-26682,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2025-26682,007,ACTIVE,2026-07-28 11:55:52.239+00
CVE-2025-26682,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2025-29802,007,ACTIVE,2026-07-28 11:55:52.267+00
CVE-2025-29803,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2025-29803,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2025-29803,007,ACTIVE,2026-07-28 11:55:52.291+00
CVE-2025-29804,007,ACTIVE,2026-07-28 11:55:52.315+00
CVE-2025-30399,007,ACTIVE,2026-07-28 11:55:52.342+00
CVE-2025-31334,007,ACTIVE,2026-07-28 11:55:52.372+00
CVE-2025-32702,007,ACTIVE,2026-07-28 11:55:52.392+00
CVE-2025-32703,007,ACTIVE,2026-07-28 11:55:52.416+00
CVE-2025-3730,007,ACTIVE,2026-07-28 11:55:52.439+00
CVE-2025-46148,007,ACTIVE,2026-07-28 11:55:52.466+00
CVE-2025-46149,007,ACTIVE,2026-07-28 11:55:52.493+00
CVE-2025-46150,007,ACTIVE,2026-07-28 11:55:52.526+00
CVE-2025-46152,007,ACTIVE,2026-07-28 11:55:52.549+00
CVE-2025-46153,007,ACTIVE,2026-07-28 11:55:52.578+00
CVE-2025-47954,007,ACTIVE,2026-07-28 11:55:52.605+00
CVE-2025-47959,007,ACTIVE,2026-07-28 11:55:52.63+00
CVE-2025-47997,007,ACTIVE,2026-07-28 11:55:52.652+00
CVE-2025-48379,007,ACTIVE,2026-07-28 11:55:52.674+00
CVE-2025-49717,007,ACTIVE,2026-07-28 11:55:52.693+00
CVE-2025-49718,007,ACTIVE,2026-07-28 11:55:52.72+00
CVE-2025-49719,007,ACTIVE,2026-07-28 11:55:52.747+00
CVE-2025-49739,007,ACTIVE,2026-07-28 11:55:52.771+00
CVE-2025-49758,007,ACTIVE,2026-07-28 11:55:52.795+00
CVE-2025-49759,007,ACTIVE,2026-07-28 11:55:52.815+00
CVE-2025-53727,007,ACTIVE,2026-07-28 11:55:52.837+00
CVE-2025-55227,007,ACTIVE,2026-07-28 11:55:52.862+00
CVE-2025-55240,007,ACTIVE,2026-07-28 11:55:52.882+00
CVE-2025-55315,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2025-55315,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2025-55315,007,ACTIVE,2026-07-28 11:55:52.904+00
CVE-2025-55551,007,ACTIVE,2026-07-28 11:55:52.929+00
CVE-2025-55552,007,ACTIVE,2026-07-28 11:55:52.95+00
CVE-2025-55553,007,ACTIVE,2026-07-28 11:55:52.978+00
CVE-2025-55554,007,ACTIVE,2026-07-28 11:55:53.007+00
CVE-2025-55557,007,ACTIVE,2026-07-28 11:55:53.036+00
CVE-2025-55558,007,ACTIVE,2026-07-28 11:55:53.064+00
CVE-2025-55560,007,ACTIVE,2026-07-28 11:55:53.092+00
CVE-2025-59499,007,ACTIVE,2026-07-28 11:55:53.119+00
CVE-2025-6075,007,ACTIVE,2026-07-28 11:55:53.147+00
CVE-2025-6218,007,ACTIVE,2026-07-28 11:55:53.174+00
CVE-2025-66034,007,ACTIVE,2026-07-28 11:55:53.197+00
CVE-2025-68146,007,ACTIVE,2026-07-28 11:55:53.22+00
CVE-2025-8088,007,ACTIVE,2026-07-28 11:55:53.286+00
CVE-2025-8869,007,UNDER_EVALUATION,2026-07-28 11:55:53.311+00
CVE-2026-11933,007,ACTIVE,2026-07-28 11:55:53.333+00
CVE-2026-15308,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2026-15308,007,ACTIVE,2026-07-28 11:55:53.355+00
CVE-2026-1703,007,UNDER_EVALUATION,2026-07-28 11:55:53.38+00
CVE-2026-20803,007,ACTIVE,2026-07-28 11:55:53.402+00
CVE-2026-21262,007,ACTIVE,2026-07-28 11:55:53.422+00
CVE-2026-21518,007,ACTIVE,2026-07-28 11:55:53.448+00
CVE-2026-21523,007,ACTIVE,2026-07-28 11:55:53.47+00
CVE-2026-22007,007,ACTIVE,2026-07-28 11:55:53.498+00
CVE-2026-22013,007,ACTIVE,2026-07-28 11:55:53.526+00
CVE-2026-22016,007,ACTIVE,2026-07-28 11:55:53.653+00
CVE-2026-22018,007,ACTIVE,2026-07-28 11:55:53.718+00
CVE-2026-22021,007,ACTIVE,2026-07-28 11:55:53.757+00
CVE-2026-22701,007,ACTIVE,2026-07-28 11:55:53.796+00
CVE-2026-24747,007,ACTIVE,2026-07-28 11:55:53.822+00
CVE-2026-25990,007,ACTIVE,2026-07-28 11:55:53.843+00
CVE-2026-26115,007,ACTIVE,2026-07-28 11:55:53.865+00
CVE-2026-26116,007,ACTIVE,2026-07-28 11:55:53.886+00
CVE-2026-26130,007,ACTIVE,2026-07-28 11:55:53.91+00
CVE-2026-26130,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2026-3087,007,ACTIVE,2026-07-28 11:55:53.948+00
CVE-2026-3087,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2026-32167,007,ACTIVE,2026-07-28 11:55:53.982+00
CVE-2026-32176,007,ACTIVE,2026-07-28 11:55:54.017+00
CVE-2026-3219,007,UNDER_EVALUATION,2026-07-28 11:55:54.066+00
CVE-2026-33120,007,ACTIVE,2026-07-28 11:55:54.222+00
CVE-2026-34268,007,ACTIVE,2026-07-28 11:55:54.276+00
CVE-2026-34282,007,ACTIVE,2026-07-28 11:55:54.33+00
CVE-2026-3644,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2026-3644,007,ACTIVE,2026-07-28 11:55:54.371+00
CVE-2026-40192,007,ACTIVE,2026-07-28 11:55:54.421+00
CVE-2026-40370,007,ACTIVE,2026-07-28 11:55:54.485+00
CVE-2026-40376,007,ACTIVE,2026-07-28 11:55:54.524+00
CVE-2026-41109,007,ACTIVE,2026-07-28 11:55:54.568+00
CVE-2026-41610,007,ACTIVE,2026-07-28 11:55:54.609+00
CVE-2026-41611,007,ACTIVE,2026-07-28 11:55:54.66+00
CVE-2026-41613,007,ACTIVE,2026-07-28 11:55:54.683+00
CVE-2026-4224,007,ACTIVE,2026-07-28 11:55:54.702+00
CVE-2026-42308,007,ACTIVE,2026-07-28 11:55:54.724+00
CVE-2026-42309,007,ACTIVE,2026-07-28 11:55:54.75+00
CVE-2026-42310,007,ACTIVE,2026-07-28 11:55:54.772+00
CVE-2026-42311,007,ACTIVE,2026-07-28 11:55:54.803+00
CVE-2026-4519,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2026-4519,007,ACTIVE,2026-07-28 11:55:54.829+00
CVE-2026-4538,007,ACTIVE,2026-07-28 11:55:54.858+00
CVE-2026-45482,007,ACTIVE,2026-07-28 11:55:54.881+00
CVE-2026-45496,007,ACTIVE,2026-07-28 11:55:54.903+00
CVE-2026-45591,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2026-45591,007,ACTIVE,2026-07-28 11:55:54.928+00
CVE-2026-47281,007,ACTIVE,2026-07-28 11:55:54.951+00
CVE-2026-47282,007,ACTIVE,2026-07-28 11:55:54.976+00
CVE-2026-47284,007,ACTIVE,2026-07-28 11:55:54.999+00
CVE-2026-47287,007,ACTIVE,2026-07-28 11:55:55.025+00
CVE-2026-47292,007,ACTIVE,2026-07-28 11:55:55.046+00
CVE-2026-47296,007,ACTIVE,2026-07-28 11:55:55.07+00
CVE-2026-48569,007,ACTIVE,2026-07-28 11:55:55.096+00
CVE-2026-50520,007,ACTIVE,2026-07-28 11:55:55.116+00
CVE-2026-54058,007,UNDER_EVALUATION,2026-07-28 11:55:55.138+00
CVE-2026-54059,007,ACTIVE,2026-07-28 11:55:55.158+00
CVE-2026-54060,007,ACTIVE,2026-07-28 11:55:55.184+00
CVE-2026-55379,007,ACTIVE,2026-07-28 11:55:55.213+00
CVE-2026-55380,007,ACTIVE,2026-07-28 11:55:55.236+00
CVE-2026-55798,007,ACTIVE,2026-07-28 11:55:55.26+00
CVE-2026-57101,007,ACTIVE,2026-07-28 11:55:55.287+00
CVE-2026-57102,007,ACTIVE,2026-07-28 11:55:55.339+00
CVE-2026-59197,007,ACTIVE,2026-07-28 11:55:55.371+00
CVE-2026-59198,007,ACTIVE,2026-07-28 11:55:55.399+00
CVE-2026-59199,007,ACTIVE,2026-07-28 11:55:55.427+00
CVE-2026-59200,007,ACTIVE,2026-07-28 11:55:55.461+00
CVE-2026-59204,007,ACTIVE,2026-07-28 11:55:55.487+00
CVE-2026-59205,007,ACTIVE,2026-07-28 11:55:55.516+00
CVE-2026-59890,007,ACTIVE,2026-07-28 11:55:55.542+00
CVE-2026-6019,007,ACTIVE,2026-07-28 11:55:55.572+00
CVE-2026-6019,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2026-6357,007,UNDER_EVALUATION,2026-07-28 11:55:55.598+00
CVE-2026-7210,007,ACTIVE,2026-07-28 11:55:55.625+00
CVE-2026-7210,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2026-8643,007,ACTIVE,2026-07-28 11:55:55.651+00
CVE-2026-9735,007,ACTIVE,2026-07-28 11:55:55.68+00
CVE-2026-9740,007,ACTIVE,2026-07-28 11:55:55.705+00
CVE-2026-9741,007,ACTIVE,2026-07-28 11:55:55.732+00
CVE-2026-9742,007,ACTIVE,2026-07-28 11:55:55.758+00
CVE-2026-9746,007,ACTIVE,2026-07-28 11:55:55.783+00
CVE-2026-9747,007,ACTIVE,2026-07-28 11:55:55.807+00
CVE-2026-9748,007,ACTIVE,2026-07-28 11:55:55.833+00
CVE-2026-9749,007,ACTIVE,2026-07-28 11:55:55.86+00
CVE-2026-9750,007,ACTIVE,2026-07-28 11:55:55.884+00
CVE-2026-9751,007,ACTIVE,2026-07-28 11:55:55.908+00
CVE-2026-9752,007,ACTIVE,2026-07-28 11:55:55.93+00
CVE-2026-9753,007,ACTIVE,2026-07-28 11:55:55.953+00
CVE-2026-9754,007,ACTIVE,2026-07-28 11:55:55.975+00
